0	0
0.338042	1.69021
0.676083	-0.209013
1.01413	0.227563
1.35217	0.44903
1.69021	0.548387
2.02825	0.575339
2.36629	0.567556
2.70433	0.547361
3.04238	0.524585
3.38042	0.502835
3.71846	0.483182
4.0565	0.465752
4.39454	0.450351
4.73258	0.436704
5.07063	0.42454
5.40867	0.413626
5.74671	0.403765
6.08475	0.394798
6.42279	0.386594
6.76083	0.379048
7.09888	0.372072
7.43692	0.365595
7.77496	0.359556
8.113	0.353907
8.45104	0.348604
8.78908	0.343611
9.12713	0.338899
9.46517	0.33444
9.80321	0.330211
10.1413	0.326192
10.4793	0.322365
10.8173	0.318714
11.1554	0.315226
11.4934	0.311888
11.8315	0.30869
12.1695	0.30562
12.5075	0.302671
12.8456	0.299834
13.1836	0.297102
13.5217	0.294468
13.8597	0.291927
14.1978	0.289471
14.5358	0.287098
14.8738	0.284801
15.2119	0.282577
15.5499	0.280422
15.888	0.278332
16.226	0.276303
16.564	0.274333
16.9021	0.272418
17.2401	0.270556
17.5782	0.268745
17.9162	0.266982
18.2543	0.265264
18.5923	0.26359
18.9303	0.261959
19.2684	0.260367
19.6064	0.258813
19.9445	0.257296
